Year,wine-resident,total-wine,total-table,California,U.S.,Percent-California,France-exports,USA-exports,France-imports,USA-imports,France-production,USA-production,France-consumption,USA-consumption
2014,2.80,893,769,709647220,835468643,0.849400185,,,,,,,,
2013,2.80,886,769,728939759,836106493,0.871826454,,,,,,,,
2012,2.73,856,749,662818311,752431183,0.880902235,15006,4007,5433,11675,41548,21650,54,11
2011,2.68,836,724,605619613,683623267,0.885896724,14722,4210,6467,10155,50757,19140,55,11
2010,2.53,784,681,606448660,677490922,0.895139168,13888,4009,6405,9320,44381,20887,57,11
2009,2.49,763,666,631575325,707084113,0.893211025,12969,3974,5755,9219,46269,21965,59,11
2008,2.45,746,650,545855584,619684922,0.880859877,12798,4638,5719,8250,42654,19340,60,11
2007,2.46,742,647,565951772,637671821,0.887528276,14506,4231,5362,8373,45672,19870,63,12
2006,2.40,717,628,557129712,623258574,0.893898191,14861,3761,5321,7718,52127,19440,65,11
2005,2.34,691,609,648183911,715942737,0.905357199,13834,3459,5495,7052,52105,22888,67,11
2004,2.26,665,589,547027396,608868255,0.898433104,14210,3874,5514,6415,57386,20109,67,11
2003,2.20,639,570,524007226,587878254,0.891353307,15148,3293,4799,6082,46360,19500,69,10
2002,2.14,617,552,491352590,551698239,0.890618377,15541,2662,4588,5460,50353,20300,71,10
2001,2.01,574,512,525340922,586105571,0.896324737,15126,2844,5136,4688,53389,19200,70,9
2000,2.01,568,507,564735000,616399000,0.91618416,15039,2769,5502,4479,57541,21500,72,10
1999,2.02,543,475,449465000,502655000,0.894181894,16105,2624,5748,4072,60535,19050,74,9
1998,1.95,526,466,443698000,494097000,0.897997762,16485,2520,5824,4004,52671,20504,77,10
1997,1.94,519,461,483555000,534247000,0.90511505,15737,2040,5826,4452,53561,22000,76,10
1996,1.89,500,439,418376000,460081000,0.909352918,12990,1615,5306,3472,57047,18877,74,10
1995,1.77,464,404,397042000,437034000,0.908492245,11478,1329,6127,2753,54354,18668,78,10
1994,1.77,459,395,,,,,,,,,,,
1993,1.74,449,381,,,,,,,,,,,
1992,1.87,476,405,,,,,,,,,,,
1991,1.85,466,394,,,,,,,,,,,
1990,2.05,509,423,,,,,,,,,,,
1989,2.11,524,432,,,,,,,,,,,
1988,2.24,551,457,,,,,,,,,,,
1987,2.39,581,481,,,,,,,,,,,
1986,2.43,587,487,,,,,,,,,,,
1985,2.43,580,478,,,,,,,,,,,
1984,2.34,555,401,,,,,,,,,,,
1983,2.25,528,402,,,,,,,,,,,
1982,2.22,514,397,,,,,,,,,,,
1981,2.20,506,387,,,,,,,,,,,
1980,2.11,480,360,,,,,,,,,,,
1979,1.98,444,325,,,,,,,,,,,
1978,1.96,435,305,,,,,,,,,,,
1977,1.82,401,262,,,,,,,,,,,
1976,1.73,376,228,,,,,,,,,,,
1975,1.71,368,209,,,,,,,,,,,
1974,1.64,349,192,,,,,,,,,,,
1973,1.64,347,185,,,,,,,,,,,
1972,1.61,337,170,,,,,,,,,,,
1971,1.48,305,155,,,,,,,,,,,
1970,1.31,267,133,,,,,,,,,,,
1969,1.17,236,112,,,,,,,,,,,
1968,1.07,214,96,,,,,,,,,,,
1967,1.03,203,88,,,,,,,,,,,
1966,0.98,191,79,,,,,,,,,,,
1965,0.98,190,74,,,,,,,,,,,
1964,0.97,186,70,,,,,,,,,,,
1963,0.93,176,64,,,,,,,,,,,
1962,0.90,168,60,,,,,,,,,,,
1961,0.94,172,57,,,,,,,,,,,
1960,0.91,163,53,,,,,,,,,,,
1959,0.89,156,48,,,,,,,,,,,
1958,0.89,155,47,,,,,,,,,,,
1957,0.89,152,45,,,,,,,,,,,
1956,0.90,150,45,,,,,,,,,,,
1955,0.88,145,43,,,,,,,,,,,
1954,0.88,142,42,,,,,,,,,,,
1953,0.89,141,40,,,,,,,,,,,
1952,0.88,138,38,,,,,,,,,,,
1951,0.83,127,36,,,,,,,,,,,
1950,0.93,140,36,,,,,,,,,,,
1949,0.89,133,32,,,,,,,,,,,
1948,0.84,122,28,,,,,,,,,,,
1947,0.67,97,23,,,,,,,,,,,
1946,1.00,140,37,,,,,,,,,,,
1945,0.71,94,27,,,,,,,,,,,
1944,0.74,99,36,,,,,,,,,,,
1943,0.73,98,38,,,,,,,,,,,
1942,0.84,113,32,,,,,,,,,,,
1941,0.76,101,29,,,,,,,,,,,
1940,0.68,90,27,,,,,,,,,,,
